"Step","20-agents - total_rewards","20-agents - total_rewards__MIN","20-agents - total_rewards__MAX","15-agents - total_rewards","15-agents - total_rewards__MIN","15-agents - total_rewards__MAX","10-agents - total_rewards","10-agents - total_rewards__MIN","10-agents - total_rewards__MAX","5-agents - total_rewards","5-agents - total_rewards__MIN","5-agents - total_rewards__MAX","1-agent - total_rewards","1-agent - total_rewards__MIN","1-agent - total_rewards__MAX"
"143","4.7608","4.7608","4.7608","4.473599999999999","4.473599999999999","4.473599999999999","1.2107999999999999","1.2107999999999999","1.2107999999999999","0","0","0","0","0","0"
"144","3.3224","3.3224","3.3224","6.2792","6.2792","6.2792","0.7004","0.7004","0.7004","0","0","0","0","0","0"
"145","7.12","7.12","7.12","4.768","4.768","4.768","0.82","0.82","0.82","2.1180000000000003","2.1180000000000003","2.1180000000000003","0","0","0"
"146","3.4368000000000003","3.4368000000000003","3.4368000000000003","4.6348","4.6348","4.6348","0.6247999999999999","0.6247999999999999","0.6247999999999999","2.7148000000000003","2.7148000000000003","2.7148000000000003","0","0","0"
"147","1.984","1.984","1.984","7.4604","7.4604","7.4604","0.83","0.83","0.83","0.5247999999999999","0.5247999999999999","0.5247999999999999","0","0","0"
"148","1.0892","1.0892","1.0892","6.178400000000001","6.178400000000001","6.178400000000001","1.1143999999999998","1.1143999999999998","1.1143999999999998","1.488","1.488","1.488","0","0","0"
"149","6.5772","6.5772","6.5772","1.8983999999999999","1.8983999999999999","1.8983999999999999","3.3735999999999997","3.3735999999999997","3.3735999999999997","0.9776","0.9776","0.9776","0","0","0"
"150","2.0236","2.0236","2.0236","2.3836","2.3836","2.3836","1.3836","1.3836","1.3836","0.22240000000000004","0.22240000000000004","0.22240000000000004","0","0","0"
"151","2.4196","2.4196","2.4196","3.217999999999999","3.217999999999999","3.217999999999999","1.748","1.748","1.748","1.5808","1.5808","1.5808","0","0","0"
"152","6.0336","6.0336","6.0336","5.1372","5.1372","5.1372","0.478","0.478","0.478","2.6724","2.6724","2.6724","0","0","0"
"153","0.5284","0.5284","0.5284","3.4528","3.4528","3.4528","0.8632","0.8632","0.8632","1.8444000000000003","1.8444000000000003","1.8444000000000003","0","0","0"
"154","3.8024","3.8024","3.8024","3.4988","3.4988","3.4988","2.0351999999999997","2.0351999999999997","2.0351999999999997","0.8416","0.8416","0.8416","0","0","0"
"155","3.5907999999999993","3.5907999999999993","3.5907999999999993","2.7479999999999998","2.7479999999999998","2.7479999999999998","0.5716","0.5716","0.5716","0","0","0","0","0","0"
